name,city,price,rating,type,features
Sea View Resort Ao Nang,Ao Nang,2500,4.5,Resort,"Beachfront,Pool,Spa"
Aonang Princeville Resort,Ao Nang,1800,4.2,Resort,"Pool,Restaurant"
Krabi Resort,Ao Nang,1200,4.0,Hotel,"Pool,Garden"
The Nine Thipthara Krabi,Ao Nang,3000,4.7,Luxury,"Luxury,Spa,Pool"
Ao Nang Villa Resort,Ao Nang,900,3.8,Villa,"Budget,Basic"
Centara Ao Nang,Ao Nang,2200,4.3,Resort,"Family,Pool"
Holiday Inn Krabi,Ao Nang,2800,4.4,Hotel,"Business,Pool"
Dusit Thani Krabi,Ao Nang,3500,4.8,Luxury,"Luxury,Spa"
Rayavadee Resort,Ao Nang,5000,4.9,Resort,"Private,Beach"
Anyavee Ao Nang,Ao Nang,800,3.5,Budget,Budget
